#Complex	IC50	 MD_sasa	 MD_h1	 MD_h2	 MD_h3	 IC_AA	 IC_PP	 IC_CC	 IC_AP	 IC_CP	 IC_AC	 ENM_EXP	 ENM_R6	 RFCB	 RFHA	 ZRANK	 ZRANKr	 DFIRE	 NIS_A	 NIS_C
MW965_26__1B2530	-1		-29.880870	11.666667	9.000000	-1.954631	11.500000	6.500000	18.833333	15.666667	20.166667	31.500000	99.831455	244.812255	21.239650	134.873333	-185.685167	-439.386333	-14.063403	43.588333	19.126667
SF162__1B2530	-1		-30.638271	13.000000	10.500000	-1.132624	13.500000	5.500000	15.500000	13.833333	22.166667	33.000000	103.408152	245.250362	26.534517	171.543333	-153.753833	-381.874500	-13.941501	42.483333	20.031667
MN_3__1B2530	-1		-31.216488	12.666667	10.166667	-1.147158	13.500000	5.833333	18.666667	13.333333	22.833333	31.500000	103.204933	248.119603	27.489433	166.515000	-202.743833	-453.585833	-14.565715	41.301667	19.746667
DJ263_8__1B2530	-1		-32.039097	11.833333	10.833333	-3.056753	14.666667	9.166667	15.166667	14.500000	25.333333	34.833333	103.375065	248.052563	26.503350	134.191667	-202.689167	-485.121333	-14.890159	41.420000	19.305000
00836_2_5__1B2530	-1		-31.653385	14.666667	13.000000	-2.017303	14.166667	5.500000	17.166667	15.500000	23.333333	32.833333	102.918768	244.991038	27.246817	151.725000	-206.607833	-473.273500	-14.984344	43.450000	19.925000
BX08_16__1B2530	-1		-30.171563	12.000000	9.833333	-2.612488	13.166667	9.333333	16.333333	14.333333	21.000000	34.333333	103.352791	244.115873	24.820667	122.200000	-171.620000	-421.994667	-14.247447	43.055000	18.641667
BAL_26__1B2530	-1		-29.548395	12.166667	9.333333	-1.952977	10.000000	7.500000	14.666667	15.666667	20.166667	30.833333	100.062055	243.711781	25.149550	200.498333	-198.696333	-449.945167	-14.154490	43.326667	20.308333
HXB2__1B2530	-1		-32.121859	11.500000	9.833333	-1.503957	13.166667	8.166667	18.500000	13.500000	18.333333	30.666667	103.298762	247.767805	26.956317	85.108333	-193.135667	-455.712833	-14.586731	42.678333	18.933333
242_14__1B2530	-1		-32.924712	14.166667	11.166667	-2.693550	15.333333	7.333333	19.666667	17.333333	20.166667	37.166667	103.131615	247.765119	24.461650	-45.376667	-212.801500	-555.676833	-16.164151	42.255000	19.795000
25710_2_43__1B2530	-1		-31.093516	14.333333	11.500000	-2.327934	13.333333	8.666667	15.000000	17.166667	21.833333	31.333333	102.208505	245.171545	21.361317	88.361667	-190.053333	-464.123667	-14.654286	43.423333	19.628333
H077_31__1B2530	-1		-29.871539	13.333333	10.666667	-3.606888	16.000000	7.833333	17.833333	12.833333	15.333333	33.333333	103.264283	250.753252	26.178483	123.816667	-208.575167	-456.239333	-14.456263	43.376667	18.521667
6535_3__1B2530	-1		-29.831551	11.166667	8.833333	-0.713328	11.666667	6.000000	17.166667	13.333333	20.666667	29.666667	100.335845	244.273998	25.308117	201.206667	-172.474667	-394.059333	-14.156538	41.700000	20.261667
SS1196_1__1B2530	-1		-30.041374	11.000000	9.333333	-1.993210	10.333333	7.833333	16.833333	16.000000	21.333333	31.000000	102.454640	245.780606	24.120983	169.493333	-182.284500	-427.479500	-14.011239	42.955000	18.633333
ZM197_7__1B2530	-1		-29.876171	13.833333	10.500000	-1.449628	8.333333	6.333333	18.833333	15.500000	23.666667	31.333333	100.449707	249.094534	24.271333	190.013333	-163.782667	-388.695167	-14.339548	40.933333	21.015000
H029_12__1B2530	-1		-31.638790	14.333333	12.833333	-2.473256	13.333333	9.333333	15.666667	16.166667	20.000000	33.500000	100.565447	242.616718	24.664967	48.796667	-213.587667	-506.639167	-15.130198	42.346667	19.411667
1012_11_TC21_3257__1B2530	-1		-31.689162	13.833333	10.000000	-2.265256	12.666667	8.500000	16.833333	15.000000	22.166667	31.333333	106.909861	251.311502	28.988733	63.148333	-205.579500	-488.706667	-15.254306	43.300000	19.431667
H086_8__1B2530	-1		-33.815392	17.833333	14.666667	-2.912506	8.166667	5.833333	23.500000	11.000000	27.000000	39.333333	103.705382	244.990307	28.564683	129.423333	-224.228500	-505.039333	-15.914340	41.880000	20.343333
Q23_17__1B2530	-1		-31.609341	13.333333	10.166667	-0.744731	14.000000	7.166667	18.666667	12.333333	19.833333	31.833333	103.307804	244.813132	27.711200	71.505000	-210.172500	-521.432667	-14.313404	43.216667	19.651667
BZ167_12__1B2530	-1		-29.393407	11.333333	8.333333	-0.740720	10.000000	7.500000	15.166667	13.333333	23.666667	29.666667	99.403296	246.768649	24.897650	179.783333	-174.721833	-424.081333	-13.655052	42.571667	19.820000
25711_2_4__1B2530	-1		-31.370789	14.833333	12.500000	-1.341535	12.166667	5.666667	17.500000	16.000000	24.333333	30.666667	103.778990	248.510637	27.128083	108.365000	-153.011667	-381.677167	-15.309782	41.238333	21.403333
ZM109_4__1B2530	-1		-29.802139	15.666667	12.500000	-2.252162	11.500000	8.166667	21.000000	14.500000	16.666667	31.500000	99.697111	241.291504	22.085450	-20.746667	-188.611833	-451.630667	-14.492479	42.506667	20.865000
25925_2_22__1B2530	-1		-30.892156	14.500000	12.333333	-2.512909	11.833333	7.166667	19.166667	15.500000	19.333333	33.333333	101.333585	245.585534	20.246433	96.580000	-211.947333	-509.773167	-15.737633	42.636667	19.116667
1056_10_TA11_1826__1B2530	-1		-30.232718	13.833333	10.166667	-2.259506	14.833333	8.166667	15.000000	15.833333	20.166667	30.500000	102.544153	249.156627	25.016800	124.981667	-165.503500	-401.939500	-14.048017	42.261667	20.368333
